Size,k,ClusType,SSE,SSR,RSQ,FSTAT,Calinski-Harabasz,Fowlkes-Mallows,Mutual-Information,Homogeneity,Completeness,V-measure,Adjusted-Rand,Adjusted-Mutual-Info
900,5,0,52090.53153,408942.2134,0.87262129,1532.822981,1532.822981,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,1,46741.33985,392614.9985,0.880948665,1655.69133,1655.69133,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,2,63435.8612,431911.3186,0.853127579,1299.681001,1299.681001,nan,0.919570565,0.935831885,0.964281334,0.94984363,0.965510207,0.93520723
900,5,3,65746.10684,414043.4329,0.841209637,1185.340554,1185.340554,13.21221471,0.891861164,0.907632482,0.945592643,0.926223788,0.947064895,0.906733381
900,5,4,52483.11324,428298.7017,0.877461423,1602.2056,1602.2056,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,5,50984.80578,409697.713,0.875555064,1574.233966,1574.233966,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,6,67190.97762,419314.4926,0.839759944,1172.592501,1172.592501,9.299943323,0.886637397,0.90231634,0.928895698,0.915413124,0.938177244,0.901363451
900,5,7,57163.68908,444893.859,0.871511625,1517.652673,1517.652673,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,8,48252.35318,387510.784,0.875481264,1573.168331,1573.168331,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,9,81428.41864,431839.4191,0.811438199,962.8636126,962.8636126,9.202076427,0.890488419,0.906235462,0.933961611,0.919889662,0.938509484,0.90532021
900,5,10,51196.32175,414968.2327,0.876625925,1589.840096,1589.840096,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,11,60123.52267,415312.3324,0.855232995,1321.836989,1321.836989,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,12,74296.2647,436357.4875,0.829735327,1090.380505,1090.380505,13.03127374,0.89936908,0.915273165,0.936826226,0.925924288,0.94511984,0.914447414
900,5,13,53605.1015,406873.4829,0.868251179,1474.557423,1474.557423,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,14,54674.82348,432644.4601,0.873626433,1546.794316,1546.794316,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,15,50776.60824,404349.0762,0.87442383,1558.037105,1558.037105,45.92114852,0.953136401,0.969991286,0.961142731,0.965546736,0.978529932,0.960770181
900,5,16,55023.52579,405786.7959,0.864402868,1426.358645,1426.358645,nan,0.95828578,0.975231724,0.96203327,0.968587537,0.978537952,0.961670992
900,5,17,67723.28251,427343.8867,0.841525093,1188.145453,1188.145453,20.52792984,0.903954351,0.91993952,0.935662129,0.927734215,0.947843257,0.919161533
900,5,18,74752.49752,429882.9833,0.826109661,1062.980487,1062.980487,nan,0.873693243,0.889143286,0.920584241,0.904590647,0.927389189,0.888062862
900,5,19,64132.78505,412203.1282,0.844414609,1214.367023,1214.367023,nan,0.826141471,0.840750628,0.762506619,0.799719346,0.813770826,0.760423072
900,5,20,66953.82809,423485.2769,0.841898097,1191.476484,1191.476484,nan,0.913466069,0.929619439,0.942092284,0.935814303,0.955099332,0.928935022
900,5,21,49007.71068,399666.6561,0.877378536,1600.971316,1600.971316,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,22,47170.70013,374863.4404,0.874165643,1554.381225,1554.381225,38.64315012,0.953070244,0.969923958,0.961768323,0.965828924,0.978683491,0.961401347
900,5,23,48363.60213,387841.287,0.875300532,1570.563991,1570.563991,45.92114852,0.953136401,0.969991286,0.961142731,0.965546736,0.978529932,0.960770181
900,5,24,63176.3671,400183.0952,0.842131345,1193.567451,1193.567451,12.86579387,0.88927167,0.904997196,0.926874786,0.915805352,0.938415356,0.904070908
900,5,25,66163.33399,432619.3042,0.84706338,1239.274359,1239.274359,nan,0.923532421,0.9398638,0.946381671,0.943111474,0.961794982,0.939279812
900,5,26,67094.15117,422404.7235,0.841161456,1184.913129,1184.913129,13.37885341,0.893574044,0.909375652,0.929421371,0.919289247,0.944623712,0.908493299
900,5,27,70903.85167,423493.6564,0.832573994,1112.661258,1112.661258,nan,0.913466069,0.929619439,0.942092284,0.935814303,0.955099332,0.928935022
900,5,28,77892.67924,432807.5401,0.820029292,1019.507878,1019.507878,9.299943323,0.886637397,0.90231634,0.928895698,0.915413124,0.938177244,0.901363451
900,5,29,122449.4689,439570.0178,0.721433528,579.4694206,579.4694206,nan,0.818351335,0.832822734,0.649361821,0.729738123,0.550814724,0.646754016
900,5,30,72621.34747,427116.2773,0.829972887,1092.216591,1092.216591,296.8687541,0.90864921,0.924717401,0.94019544,0.93239219,0.951764305,0.923984787
900,5,31,52529.6611,419693.2858,0.874837976,1563.93282,1563.93282,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,32,74197.52652,428029.6638,0.826653307,1067.015902,1067.015902,nan,0.913466069,0.929619439,0.942092284,0.935814303,0.955099332,0.928935022
900,5,33,73156.40675,425004.3628,0.827869045,1076.132408,1076.132408,13.3065416,0.895711908,0.911551321,0.932055962,0.921689615,0.944817422,0.91068983
900,5,34,70182.98792,414650.1492,0.830741679,1098.193873,1098.193873,nan,0.918420466,0.934661448,0.944148211,0.939380878,0.95844289,0.934026507
900,5,35,76568.08642,456100.2129,0.832124423,1109.082351,1109.082351,12.12249348,0.894737985,0.910560175,0.953499721,0.931535381,0.948405849,0.909686768
900,5,36,55078.32564,415466.9342,0.867430303,1464.04144,1464.04144,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,37,54643.14843,416615.4548,0.868840323,1482.185889,1482.185889,42.25578442,0.953070244,0.969923958,0.961327323,0.965606508,0.978569506,0.960956404
900,5,38,57943.77165,404907.7116,0.85689635,1339.802007,1339.802007,nan,0.918420466,0.934661448,0.944148211,0.939380878,0.95844289,0.934026507
900,5,39,107663.1668,413757.8597,0.739791851,636.1385195,636.1385195,8.070108193,0.846978265,0.861955892,0.715394407,0.781866177,0.695198921,0.713137406
900,5,40,48951.0564,412569.2918,0.881350703,1662.059742,1662.059742,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,41,60132.98597,448509.4267,0.865927041,1445.117471,1445.117471,45.92114852,0.953136401,0.969991286,0.961142731,0.965546736,0.978529932,0.960770181
900,5,42,71308.23046,426119.7832,0.832656841,1113.322886,1113.322886,nan,0.905160889,0.921167394,0.935937687,0.928493804,0.951531166,0.920400597
900,5,43,63937.15218,403491.4084,0.841540239,1188.280401,1188.280401,13.03127374,0.89936908,0.915273165,0.936826226,0.925924288,0.94511984,0.914447414
900,5,44,59369.46603,426814.25,0.860900928,1384.81573,1384.81573,10.03522783,0.92966083,0.946100582,0.968498626,0.957168592,0.972280364,0.945576613
900,5,45,47658.01663,411041.6843,0.884055514,1706.052861,1706.052861,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,46,48909.6408,413418.2223,0.881694521,1667.540259,1667.540259,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,47,55792.57832,414978.3178,0.865553028,1440.47491,1440.47491,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,48,66947.20494,400985.8397,0.833043469,1116.419193,1116.419193,11.06646276,0.894883252,0.910708011,0.931907018,0.921185569,0.941096969,0.90983939
900,5,49,59942.9501,401925.1369,0.85086041,1276.522329,1276.522329,nan,0.918420466,0.934661448,0.942271163,0.938450879,0.958026673,0.934027452
900,5,50,55212.28266,429838.7086,0.871551162,1518.188685,1518.188685,45.92114852,0.953136401,0.969991286,0.961142731,0.965546736,0.978529932,0.960770181
900,5,51,118505.4676,416781.228,0.715665055,563.1740266,563.1740266,nan,0.83133137,0.846032303,0.716208555,0.775726189,0.672166119,0.713898516
900,5,52,55860.98397,413655.0007,0.864957552,1433.136432,1433.136432,10.39543977,0.934346999,0.950869619,0.951492757,0.951181086,0.96852477,0.950393131
900,5,53,53261.24269,415484.7674,0.871809397,1521.697759,1521.697759,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,54,58567.42084,433543.4688,0.864909922,1432.552254,1432.552254,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,55,61794.01893,432778.7695,0.857215688,1343.298905,1343.298905,10.39543977,0.934346999,0.950869619,0.951492757,0.951181086,0.96852477,0.950393131
900,5,56,70255.76682,425400.2568,0.83484785,1131.06131,1131.06131,296.8687541,0.90864921,0.924717401,0.94019544,0.93239219,0.951764305,0.923984787
900,5,57,118390.4182,446060.1139,0.734586405,619.2738864,619.2738864,nan,0.820298469,0.834804301,0.665963866,0.740886583,0.600041954,0.663419278
900,5,58,52596.15071,403271.3366,0.869576273,1491.812077,1491.812077,40.40679089,0.953070244,0.969923958,0.961515961,0.965701659,0.97862402,0.961146734
900,5,59,66483.6241,407037.9201,0.83666479,1146.132221,1146.132221,nan,0.913466069,0.929619439,0.942092284,0.935814303,0.955099332,0.928935022
900,5,60,100183.3477,432306.3649,0.768258448,741.7652412,741.7652412,32.58247593,0.775203608,0.788912,0.634558708,0.703366745,0.642320259,0.631769575
900,5,61,63292.16666,410276.9552,0.845733069,1226.658061,1226.658061,nan,0.904773662,0.920773319,0.926791504,0.92377261,0.944603852,0.920003172
900,5,62,81625.06142,411502.4064,0.801641351,904.2572789,904.2572789,13.94057643,0.794994206,0.809052567,0.749793958,0.778296922,0.801963348,0.747528279
900,5,63,55709.36477,415435.0615,0.865901148,1444.795233,1444.795233,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,64,45025.32266,385110.3394,0.883084617,1690.027256,1690.027256,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,65,57899.4285,441359.9681,0.868815859,1481.867748,1481.867748,42.25578442,0.953070244,0.969923958,0.961327323,0.965606508,0.978569506,0.960956404
900,5,66,75489.00342,407955.7856,0.81495788,985.4341578,985.4341578,11.14735056,0.850413892,0.865452273,0.908994493,0.886689153,0.907362291,0.864136659
900,5,67,60123.51804,423855.9752,0.858151067,1353.632321,1353.632321,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,68,61862.54489,404330.0342,0.846999877,1238.667127,1238.667127,18.42838777,0.903954351,0.91993952,0.938443701,0.929099486,0.948437808,0.919159836
900,5,69,64017.49733,408685.4846,0.843357546,1204.662247,1204.662247,12.28403453,0.919103045,0.935356097,0.9338161,0.934585464,0.958307533,0.933175318
900,5,70,48961.63649,416648.9088,0.882487064,1680.295699,1680.295699,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,71,69009.91256,401743.7383,0.828224049,1078.818836,1078.818836,13.03127374,0.89936908,0.915273165,0.936826226,0.925924288,0.94511984,0.914447414
900,5,72,53430.96449,422671.4403,0.873587474,1546.248645,1546.248645,nan,0.961361631,0.978361968,0.967267228,0.972782964,0.982086815,0.966954149
900,5,73,51238.60364,410231.3416,0.875098272,1567.658355,1567.658355,45.92114852,0.953136401,0.969991286,0.961142731,0.965546736,0.978529932,0.960770181
900,5,74,105857.4438,432156.5394,0.755048381,689.6956893,689.6956893,32.814513,0.749620706,0.7628767,0.581002895,0.659632861,0.508885491,0.577967444
900,5,75,70743.47808,409787.1291,0.8273653,1072.339373,1072.339373,13.3065416,0.895711908,0.911551321,0.932055962,0.921689615,0.944817422,0.91068983
