@1200	5A		
SIM_2_60	ARISEL	25:05.5	
SIM_2_60	AZP-TABU	36:59.7	
SIM_2_60	AZP	01:10.4	
SIM_2_60	AZP-SA	06:56.0	
SIM_2_61	ARISEL	23:12.2	
SIM_2_61	AZP-TABU	42:21.8	
SIM_2_61	AZP	02:59.5	
SIM_2_61	AZP-SA	03:57.6	
SIM_2_62	ARISEL	20:47.6	
SIM_2_62	AZP-TABU	19:30.2	
SIM_2_62	AZP	00:36.6	
SIM_2_62	AZP-SA	07:02.8	
SIM_2_63	ARISEL	16:28.8	
SIM_2_63	AZP-TABU	47:03.8	
SIM_2_63	AZP	01:05.9	
SIM_2_63	AZP-SA	04:41.0	
SIM_2_64	ARISEL	27:09.7	
SIM_2_64	AZP-TABU	40:46.5	
SIM_2_64	AZP	01:25.2	
SIM_2_64	AZP-SA	06:15.3	
SIM_2_65	ARISEL	25:56.0	
SIM_2_65	AZP-TABU	42:20.2	
SIM_2_65	AZP	01:01.5	
SIM_2_65	AZP-SA	04:59.4	
SIM_2_66	ARISEL	37:30.2	
SIM_2_66	AZP-TABU	29:56.0	
SIM_2_66	AZP	01:52.1	
SIM_2_66	AZP-SA	06:14.1	
SIM_2_67	ARISEL	52:42.1	
SIM_2_67	AZP-TABU	22:10.7	
SIM_2_67	AZP	00:58.3	
SIM_2_67	AZP-SA	09:34.8	
SIM_2_68	ARISEL	16:22.1	
SIM_2_68	AZP-TABU	18:06.3	
SIM_2_68	AZP	01:15.2	
SIM_2_68	AZP-SA	04:38.0	
SIM_2_69	ARISEL	25:59.9	
SIM_2_69	AZP-TABU	48:46.4	
SIM_2_69	AZP	00:47.9	
SIM_2_69	AZP-SA	04:50.2	
SIM_3_0	ARISEL	18:59.0	
SIM_3_0	AZP-TABU	30:14.2	
SIM_3_0	AZP	01:20.3	
SIM_3_0	AZP-SA	05:29.7	
SIM_3_1	ARISEL	20:38.2	
SIM_3_1	AZP-TABU	16:28.6	
SIM_3_1	AZP	00:29.2	
SIM_3_1	AZP-SA	07:53.5	
SIM_3_2	ARISEL	19:32.2	
SIM_3_2	AZP-TABU	18:13.4	
